HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,NUM_LIST,MULT_LIST,LAT,LONG,NAME
35822123,Entire home/apt,Lexington,0,0,4,2,750,1,No,38.023725,-84.575255,Breeders Cup Weekend
36017911,Entire home/apt,Lexington,16,5,5,2,160,1,No,38.032715,-84.488934,"""Clay Cottage"" by Woodland Park- AWESOME location"
36074408,Entire home/apt,Lexington,22,5,6,3,125,1,No,38.05268,-84.498618,The Breckinridge House
36223085,Entire home/apt,Lexington,0,0,6,3,715,1,No,38.027288,-84.494196,Breeders cup special
36336900,Private room,Lexington,14,5,2,1,70,1,No,38.049114,-84.500717,Modern condo across from Rupp Arena
36439986,Entire home/apt,Lexington,0,0,3,1,115,1,No,38.015357,-84.529998,"Art-filled home, huge back yard"
36660970,Entire home/apt,Lexington,1,0,2,1,110,1,No,38.006065,-84.567832,Relaxing One Bedroom Apartment
36723128,Entire home/apt,Lexington,0,0,4,2,475,1,No,37.997043,-84.493116,Lansdowne condo avail Breeders Cup
36815354,Entire home/apt,Lexington,0,0,4,1,100,1,No,38.01979,-84.371315,Best of Both Worlds!
36886752,Entire home/apt,Lexington,48,5,6,3,145,1,No,37.982625,-84.556981,Stay warm in December at The Happy Mallard!
37089468,Entire home/apt,Lexington,35,5,4,1,125,1,No,38.103931,-84.575162,Charming Cottage Home on a Farm
37101207,Entire home/apt,Lexington,14,5,10,3,152,2,Yes,37.982128,-84.562099,The Ugly Duckling-Lovely inside-Room for 2-10!
37101207,Entire home/apt,Lexington,10,5,6,3,150,2,Yes,37.992109,-84.449792,Tranquil Townhome - Roomy 3 Bedroom
37241208,Entire home/apt,Lexington,0,0,10,5,2000,1,No,38.013616,-84.560599,10 Min to Breeders Cup sleeps 10
37669420,Entire home/apt,Lexington,0,0,4,3,499,1,No,38.004522,-84.526464,2 Bedroom B&B  for Breeder's Cup
